Simulation results for MP with 1000 bots:

Start time,1628499105102
Finish time,1628499165102
Total duration (s),60

Bot name,Join time,Exit time,CreatePlayer,Authenticate,GetPlayer,ListWorlds,JoinWorld,GetState,Subscribe
Bot-1,1628499106105,1628499165105,69,90,527,12299,173,17739,9981,
Bot-2,1628499106106,1628499165106,113,1168,2528,5945,95,11746,426,
Bot-3,1628499106106,1628499165106,128,5214,5805,59,2177,10411,7977,
Bot-4,1628499106106,1628499165106,127,1849,5006,73,9137,2291,265,
Bot-5,1628499106107,1628499165107,119,1528,173,10624,254,10403,7734,
Bot-6,1628499106107,1628499165107,127,287,12529,59,205,16631,188,
Bot-7,1628499106107,1628499165107,137,9573,58,59,81,9473,2820,
Bot-8,1628499106107,1628499165107,125,7049,57,11027,1630,8170,5024,
Bot-9,1628499106108,1628499165108,125,1788,62,5009,9806,11403,7869,
Bot-10,1628499106108,1628499165108,126,6490,10054,5557,2771,3922,7259,
Bot-11,1628499106108,1628499165108,115,2064,67,4808,13387,3618,7991,
Bot-12,1628499106108,1628499165108,112,4168,57,57,8648,271,9773,
Bot-13,1628499106110,1628499165110,136,7296,61,11151,8212,10121,6972,
Bot-14,1628499106110,1628499165110,136,2476,60,4659,9105,4113,2533,
Bot-15,1628499106111,1628499165111,135,269,3058,843,966,1135,6044,
Bot-16,1628499106111,1628499165111,137,4488,72,58,807,825,117,
Bot-17,1628499106111,1628499165111,131,2123,61,10839,13361,4572,4122,
Bot-18,1628499106111,1628499165111,118,1078,3560,738,1568,16724,7986,
Bot-19,1628499106112,1628499165112,141,8965,5551,65,7719,8829,6419,
Bot-20,1628499106112,1628499165112,118,1787,70,5001,8766,11388,8162,
Bot-21,1628499106112,1628499165112,117,1787,72,61,6552,6773,124,
Bot-22,1628499106113,1628499165113,115,2508,57,4650,577,277,11332,
Bot-23,1628499106113,1628499165113,123,9741,5583,5391,9926,4683,0,
Bot-24,1628499106114,1628499165114,117,1787,2153,64,715,12178,116,
Bot-25,1628499106114,1628499165114,118,1943,10741,72,300,165,10492,
Bot-26,1628499106114,1628499165114,132,4604,10885,5342,10715,12345,0,
Bot-27,1628499106121,1628499165121,151,1366,2636,5682,6642,3874,446,
Bot-28,1628499106121,1628499165121,131,2159,60,10810,7587,6142,630,
Bot-29,1628499106121,1628499165121,131,4695,58,5294,99,12274,7528,
Bot-30,1628499106121,1628499165121,141,3882,60,1309,8419,8945,291,
Bot-31,1628499106121,1628499165121,131,1721,61,59,693,13773,5873,
Bot-32,1628499106122,1628499165122,148,7651,85,60,242,298,718,
Bot-33,1628499106122,1628499165122,143,8607,5780,5230,9030,11375,0,
Bot-34,1628499106122,1628499165122,145,1653,10571,59,267,395,74,
Bot-35,1628499106122,1628499165122,130,1651,3347,1137,1960,260,6041,
Bot-36,1628499106122,1628499165122,146,3911,1301,5817,2787,10271,7960,
Bot-37,1628499106123,1628499165123,147,4217,10900,72,8978,12541,6940,
Bot-38,1628499106123,1628499165123,146,5978,58,58,7723,199,65,
Bot-39,1628499106123,1628499165123,140,7072,11035,70,2289,4032,8063,
Bot-40,1628499106123,1628499165123,145,7774,57,11678,4393,9868,6358,
Bot-41,1628499106124,1628499165124,146,5119,5978,74,137,111,63,
Bot-42,1628499106124,1628499165124,228,3566,58,1274,1548,13040,6413,
Bot-43,1628499106124,1628499165124,143,5148,5952,79,121,11730,7629,
Bot-44,1628499106125,1628499165125,228,3163,5905,5437,2320,1883,2826,
Bot-45,1628499106125,1628499165125,147,1735,58,59,13604,3146,6499,
Bot-46,1628499106125,1628499165125,146,1785,2057,1336,1468,9907,265,
Bot-47,1628499106125,1628499165125,173,3918,59,57,6878,122,5235,
Bot-48,1628499106125,1628499165125,210,5148,5772,59,102,190,5385,
Bot-49,1628499106126,1628499165126,143,1802,56,72,6482,179,262,
Bot-50,1628499106126,1628499165126,146,3667,86,1252,899,8778,189,
Bot-51,1628499106126,1628499165126,208,6261,61,9668,7646,13966,0,
Bot-52,1628499106126,1628499165126,211,7364,58,11361,2755,8133,7017,
Bot-53,1628499106129,1628499165129,232,7701,11706,1435,1520,7414,6768,
Bot-54,1628499106130,1628499165130,202,4623,10544,5415,6383,12887,0,
Bot-55,1628499106130,1628499165130,165,5125,532,10817,8061,12784,6500,
Bot-56,1628499106130,1628499165130,252,8705,58,59,7630,2913,118,
Bot-57,1628499106130,1628499165130,173,4034,10980,60,615,3075,120,
Bot-58,1628499106130,1628499165130,204,3954,59,5645,7578,2514,2168,
Bot-59,1628499106131,1628499165131,208,6091,5641,4843,1800,5318,511,
Bot-60,1628499106131,1628499165131,178,1971,76,4808,13782,8409,7487,
Bot-61,1628499106131,1628499165131,191,2436,62,4674,9998,4674,74,
Bot-62,1628499106131,1628499165131,178,1399,216,10623,7393,10350,583,
Bot-63,1628499106131,1628499165131,163,6187,61,5555,5763,10171,7649,
Bot-64,1628499106132,1628499165132,170,10627,57,5113,731,2924,60,
Bot-65,1628499106132,1628499165132,188,6422,79,5296,6490,10282,7431,
Bot-66,1628499106132,1628499165132,177,1619,64,63,1188,12433,5418,
